"i","LR","pred_multi100"
5,6,0.30978667794021
5,6.5,0.30326102137407
5,7,0.297537538498045
5,7.5,0.292593904543816
5,8,0.288410021120741
5,8.5,0.284968300382752
5,9,0.28225388447619
5,9.5,0.280254811220147
5,10,0.278962135143248
6,0,0.488542729111545
6,0.5,0.455575591129246
6,1,0.428395598259964
6,1.5,0.406978193883834
6,2,0.391191499748911
6,2.5,0.380874952439686
6,3,0.375894822854893
6,3.5,0.376178482375473
6,4,0.381730208207788
6,4.5,0.392630297403228
6,5,0.409017381672269
6,5.5,0.431052004482757
6,6,0.458858652317645
6,6.5,0.492444647120074
6,7,0.531598873111594
6,7.5,0.575782042893046
6,8,0.624032247669411
6,8.5,0.674920965878889
6,9,0.726598224228087
6,9.5,0.776952746819077
6,10,0.823879308426697
7,0,0.262958176195059
7,0.5,0.262459535697887
7,1,0.263231323630347
7,1.5,0.26528064405501
7,2,0.268626211094422
7,2.5,0.273298104058501
7,3,0.279337327426314
7,3.5,0.286795113963677
7,4,0.295731884581027
7,4.5,0.306215754056803
7,5,0.318320449286594
7,5.5,0.332122489564886
7,6,0.347697471764024
7,6.5,0.365115314546815
7,7,0.384434354490998
7,7.5,0.405694264187732
7,8,0.428907888531506
7,8.5,0.45405227724548
7,9,0.481059426992727
7,9.5,0.50980751789286
7,10,0.540113698637152
8,0,0.446524057036534
8,0.5,0.408942946730071
8,1,0.377379238607881
8,1.5,0.351661126497873
8,2,0.331486540449184
8,2.5,0.316519544529379
8,3,0.306456782859843
8,3.5,0.301069366847629
8,4,0.30022677672415
8,4.5,0.303908105994384
8,5,0.312203717688736
8,5.5,0.325307802933479
8,6,0.343499718745675
8,6.5,0.367109551454242
8,7,0.396461606995552
8,7.5,0.431789587335765
8,8,0.473120976219743
8,8.5,0.52013791222354
8,9,0.57203862246077
8,9.5,0.627444023750824
8,10,0.684407592980066
9,0,0.739743838421588
9,0.5,0.706486851296052
9,1,0.674027163697533
9,1.5,0.643079803142474
9,2,0.614248444261958
9,2.5,0.588011862420666
9,3,0.564726239773206
9,3.5,0.544638807801082
9,4,0.527907926679358
9,4.5,0.514625317304306
9,5,0.504837245380959
9,5.5,0.498562583058586
9,6,0.495806591605534
9,6.5,0.496569888701155
9,7,0.50085240685569
9,7.5,0.508652296229564
9,8,0.519959782431834
9,8.5,0.534746072124965
9,9,0.552947618950417
9,9.5,0.574446518033365
9,10,0.599048549304597
10,0,0.397413583476884
10,0.5,0.382829993972769
10,1,0.37056392197698
10,1.5,0.36054813771586
10,2,0.352717842511535
10,2.5,0.347016299508468
10,3,0.343398901817131
10,3.5,0.34183592999555
10,4,0.342314205971955
10,4.5,0.344837783796358
10,5,0.349427739820805
10,5.5,0.35612104303421
10,6,0.364968405608916
10,6.5,0.376030940063922
10,7,0.389375391344791
10,7.5,0.405067682851562
10,8,0.423164534556787
10,8.5,0.44370300477593
10,9,0.466688004587542
10,9.5,0.492078161655436
10,10,0.519770877794559
11,0,0.253178174934815
11,0.5,0.261382982075886
11,1,0.269931421171756
11,1.5,0.278831216391856
11,2,0.288089453171675
11,2.5,0.297712453566918
11,3,0.307705643220226
11,3.5,0.318073410695906
11,4,0.32881896023911
11,4.5,0.339944159348481
11,5,0.351449382911371
11,5.5,0.363333356030644
11,6,0.375592998063092
11,6.5,0.388223270778458
11,7,0.401217033920519
11,7.5,0.414564911789442
11,8,0.428255174747578
