"hash","LR","pred_multi100"
"103f6acae68e754d5c6cac1f3af55dff",3,0.56376
"103f6acae68e754d5c6cac1f3af55dff",3.5,0.571519
"103f6acae68e754d5c6cac1f3af55dff",4,0.580105
"103f6acae68e754d5c6cac1f3af55dff",4.5,0.589499
"103f6acae68e754d5c6cac1f3af55dff",5,0.599677
"103f6acae68e754d5c6cac1f3af55dff",5.5,0.610612
"103f6acae68e754d5c6cac1f3af55dff",6,0.622269
"103f6acae68e754d5c6cac1f3af55dff",6.5,0.634609
"103f6acae68e754d5c6cac1f3af55dff",7,0.647583
"103f6acae68e754d5c6cac1f3af55dff",7.5,0.661138
"103f6acae68e754d5c6cac1f3af55dff",8,0.675212
"103f6acae68e754d5c6cac1f3af55dff",8.5,0.689738
"103f6acae68e754d5c6cac1f3af55dff",9,0.704639
"103f6acae68e754d5c6cac1f3af55dff",9.5,0.719833
"103f6acae68e754d5c6cac1f3af55dff",10,0.735234
"cec8cee4d3614530c457e61202b20518",0,0.344096
"cec8cee4d3614530c457e61202b20518",0.5,0.347475
"cec8cee4d3614530c457e61202b20518",1,0.350696
"cec8cee4d3614530c457e61202b20518",1.5,0.353756
"cec8cee4d3614530c457e61202b20518",2,0.356654
"cec8cee4d3614530c457e61202b20518",2.5,0.359388
"cec8cee4d3614530c457e61202b20518",3,0.361955
"cec8cee4d3614530c457e61202b20518",3.5,0.364354
"cec8cee4d3614530c457e61202b20518",4,0.366582
"cec8cee4d3614530c457e61202b20518",4.5,0.36864
"cec8cee4d3614530c457e61202b20518",5,0.370525
"cec8cee4d3614530c457e61202b20518",5.5,0.372236
"cec8cee4d3614530c457e61202b20518",6,0.373773
"cec8cee4d3614530c457e61202b20518",6.5,0.375134
"cec8cee4d3614530c457e61202b20518",7,0.376318
"cec8cee4d3614530c457e61202b20518",7.5,0.377325
"cec8cee4d3614530c457e61202b20518",8,0.378154
"cec8cee4d3614530c457e61202b20518",8.5,0.378805
"cec8cee4d3614530c457e61202b20518",9,0.379278
"cec8cee4d3614530c457e61202b20518",9.5,0.379572
"cec8cee4d3614530c457e61202b20518",10,0.379686
"25a24be608a2c42093a6dd1942a3f7ef",0,0.363608
"25a24be608a2c42093a6dd1942a3f7ef",0.5,0.351532
"25a24be608a2c42093a6dd1942a3f7ef",1,0.341861
"25a24be608a2c42093a6dd1942a3f7ef",1.5,0.334515
"25a24be608a2c42093a6dd1942a3f7ef",2,0.329427
"25a24be608a2c42093a6dd1942a3f7ef",2.5,0.326547
"25a24be608a2c42093a6dd1942a3f7ef",3,0.325848
"25a24be608a2c42093a6dd1942a3f7ef",3.5,0.327321
"25a24be608a2c42093a6dd1942a3f7ef",4,0.330982
"25a24be608a2c42093a6dd1942a3f7ef",4.5,0.336867
"25a24be608a2c42093a6dd1942a3f7ef",5,0.345032
"25a24be608a2c42093a6dd1942a3f7ef",5.5,0.355548
"25a24be608a2c42093a6dd1942a3f7ef",6,0.368501
"25a24be608a2c42093a6dd1942a3f7ef",6.5,0.383978
"25a24be608a2c42093a6dd1942a3f7ef",7,0.402063
"25a24be608a2c42093a6dd1942a3f7ef",7.5,0.422825
"25a24be608a2c42093a6dd1942a3f7ef",8,0.446298
"25a24be608a2c42093a6dd1942a3f7ef",8.5,0.472472
"25a24be608a2c42093a6dd1942a3f7ef",9,0.501265
"25a24be608a2c42093a6dd1942a3f7ef",9.5,0.532508
"25a24be608a2c42093a6dd1942a3f7ef",10,0.565928
"876aaf0b4d60d23eaf504b115d578f0d",0,0.587061
"876aaf0b4d60d23eaf504b115d578f0d",0.5,0.569813
"876aaf0b4d60d23eaf504b115d578f0d",1,0.554931
"876aaf0b4d60d23eaf504b115d578f0d",1.5,0.5425
"876aaf0b4d60d23eaf504b115d578f0d",2,0.532572
"876aaf0b4d60d23eaf504b115d578f0d",2.5,0.525177
