"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","Estimate.sq","Q2.5","Q97.5"
"lemmatization",TRUE,TRUE,FALSE,2,2,-0.340386,-1.227635,0.546864,0.003815,-0.09767,0.105301
"stemming",TRUE,TRUE,FALSE,2,2,-1.097821,-1.741806,-0.453836,0.112593,0.01837,0.206816
"none",FALSE,TRUE,FALSE,2,2,0.984214,0.470117,1.498311,-0.11626,-0.184821,-0.047699
"lemmatization",FALSE,TRUE,FALSE,2,2,0.886859,0.353534,1.420184,-0.118,-0.189201,-0.046799
"stemming",FALSE,TRUE,FALSE,2,2,-1.13529,-1.78796,-0.482621,0.14134,0.045052,0.237629
"none",TRUE,FALSE,FALSE,2,2,-0.227512,-0.545402,0.090379,0.024953,-0.016059,0.065965
"lemmatization",TRUE,FALSE,FALSE,2,2,0.376234,-0.332116,1.084584,-0.015664,-0.092642,0.061314
"stemming",TRUE,FALSE,FALSE,2,2,0.21695,-1.005444,1.439343,0.11735,-0.045279,0.27998
"none",FALSE,FALSE,FALSE,2,2,-0.641611,-1.220402,-0.06282,0.075939,0.002017,0.149861
"lemmatization",FALSE,FALSE,FALSE,2,2,-0.630273,-1.129456,-0.13109,0.062852,-0.007848,0.133552
"stemming",FALSE,FALSE,FALSE,2,2,-0.923261,-1.693619,-0.152903,0.152337,0.058335,0.246339
"none",TRUE,TRUE,TRUE,3,2,-0.179958,-0.403018,0.043101,0.015063,-0.009531,0.039657
"lemmatization",TRUE,TRUE,TRUE,3,2,-0.294697,-0.636462,0.047068,0.037737,-0.005585,0.081058
"stemming",TRUE,TRUE,TRUE,3,2,0.282212,-0.013329,0.577752,-0.013549,-0.044231,0.017133
"none",FALSE,TRUE,TRUE,3,2,0.134824,-0.104444,0.374092,-0.009214,-0.040768,0.02234
"lemmatization",FALSE,TRUE,TRUE,3,2,0.125788,-0.240637,0.492213,-0.013507,-0.056323,0.029309
"stemming",FALSE,TRUE,TRUE,3,2,-0.510586,-0.82041,-0.200762,0.061816,0.029032,0.0946
"none",TRUE,FALSE,TRUE,3,2,-0.013823,-0.191992,0.164345,0.014166,-0.007866,0.036198
"lemmatization",TRUE,FALSE,TRUE,3,2,0.0372,-0.266516,0.340917,-0.000199,-0.036235,0.035838
