"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","max_rho"
"lemmatization",TRUE,FALSE,TRUE,3,2,0.049689,0.0056,0.088161,0.448782
"none",FALSE,FALSE,TRUE,3,2,-0.011573,-0.028946,0.016393,0.379319
"lemmatization",FALSE,FALSE,TRUE,3,2,0.035003,-0.002529,0.0958,0.411428
"none",TRUE,TRUE,FALSE,3,2,0.019004,-0.004523,0.041162,0.537333
"lemmatization",TRUE,TRUE,FALSE,3,2,0.007924,-0.014704,0.030361,0.757347
"none",FALSE,TRUE,FALSE,3,2,0.029852,0.009315,0.051169,0.70651
"lemmatization",FALSE,TRUE,FALSE,3,2,0.008905,-0.014236,0.03101,0.6329
"none",TRUE,FALSE,FALSE,3,2,0.025761,-0.005983,0.058598,0.279869
"lemmatization",TRUE,FALSE,FALSE,3,2,0.030249,0.002201,0.060152,0.461648
"none",FALSE,FALSE,FALSE,3,2,0.005561,-0.027265,0.037902,0.362849
"lemmatization",FALSE,FALSE,FALSE,3,2,0.024408,-0.003042,0.05105,0.393721
"none",TRUE,TRUE,TRUE,1,3,0.002866,-0.050203,0.060423,0.504716
"lemmatization",TRUE,TRUE,TRUE,1,3,-0.017231,-0.102396,0.032164,0.454943
"none",FALSE,TRUE,TRUE,1,3,-0.016835,-0.081388,0.034903,0.590001
"lemmatization",FALSE,TRUE,TRUE,1,3,-0.047677,-0.174973,0.013332,0.442941
"none",TRUE,FALSE,TRUE,1,3,-0.020202,-0.067927,0.020607,0.376804
"lemmatization",TRUE,FALSE,TRUE,1,3,0.020225,-0.018523,0.073904,0.495172
"none",FALSE,FALSE,TRUE,1,3,-0.003982,-0.078281,0.033195,0.507244
"lemmatization",FALSE,FALSE,TRUE,1,3,-0.026616,-0.075867,0.011468,0.353819
"none",TRUE,TRUE,FALSE,1,3,0.013392,-0.009399,0.036493,0.558219
"lemmatization",TRUE,TRUE,FALSE,1,3,0.026455,0.003671,0.049858,1
"none",FALSE,TRUE,FALSE,1,3,0.029308,0.007463,0.05111,0.680975
"lemmatization",FALSE,TRUE,FALSE,1,3,-0.001337,-0.023202,0.019941,0.625764
"none",TRUE,FALSE,FALSE,1,3,0.016954,-0.015409,0.049858,0.353174
"lemmatization",TRUE,FALSE,FALSE,1,3,0.013131,-0.017902,0.043767,0.436496
"none",FALSE,FALSE,FALSE,1,3,0.016193,-0.009881,0.04309,0.302577
"lemmatization",FALSE,FALSE,FALSE,1,3,0.014299,-0.01863,0.048019,0.45062
"none",TRUE,TRUE,TRUE,2,3,0.034169,-0.01807,0.072239,0.48039
"lemmatization",TRUE,TRUE,TRUE,2,3,0.028148,-0.032604,0.094452,0.426299
"none",FALSE,TRUE,TRUE,2,3,-0.019227,-0.119794,0.020038,0.580664
"lemmatization",FALSE,TRUE,TRUE,2,3,-0.004791,-0.062041,0.019914,0.49214
"none",TRUE,FALSE,TRUE,2,3,0.038958,-0.004171,0.08133,0.583204
"lemmatization",TRUE,FALSE,TRUE,2,3,0.021816,-0.01668,0.07394,0.43926
"none",FALSE,FALSE,TRUE,2,3,-0.006302,-0.058603,0.030341,0.502535
"lemmatization",FALSE,FALSE,TRUE,2,3,-0.002279,-0.056955,0.031581,0.447875
"none",TRUE,TRUE,FALSE,2,3,0.026143,-0.000621,0.053018,0.645022
"lemmatization",TRUE,TRUE,FALSE,2,3,0.012832,-0.007025,0.033053,0.661233
"none",FALSE,TRUE,FALSE,2,3,0.020893,-0.006259,0.049,0.589492
"lemmatization",FALSE,TRUE,FALSE,2,3,0.012764,-0.011833,0.037221,0.667633
"none",TRUE,FALSE,FALSE,2,3,0.025051,-0.010142,0.062247,0.257018
"lemmatization",TRUE,FALSE,FALSE,2,3,0.017,-0.016858,0.049322,0.486632
"none",FALSE,FALSE,FALSE,2,3,0.025136,-0.009392,0.058508,0.343519
"lemmatization",FALSE,FALSE,FALSE,2,3,0.015062,-0.018979,0.046255,0.526221
"none",TRUE,TRUE,TRUE,3,3,-0.047113,-0.142982,0.013508,0.482292
"lemmatization",TRUE,TRUE,TRUE,3,3,-0.019755,-0.114624,0.038754,0.557983
"none",FALSE,TRUE,TRUE,3,3,0.037702,-0.006741,0.11525,0.348086
"lemmatization",FALSE,TRUE,TRUE,3,3,-0.063683,-0.161459,0.005878,0.502011
"none",TRUE,FALSE,TRUE,3,3,-0.001159,-0.017288,0.023938,0.401659
"lemmatization",TRUE,FALSE,TRUE,3,3,0.065516,0.006685,0.146703,0.370631
"none",FALSE,FALSE,TRUE,3,3,0.056282,0.004799,0.113417,0.500128
"lemmatization",FALSE,FALSE,TRUE,3,3,-0.010519,-0.031534,0.017946,0.392891
"none",TRUE,TRUE,FALSE,3,3,0.020283,-0.006033,0.043989,0.537333
"lemmatization",TRUE,TRUE,FALSE,3,3,0.011857,-0.010487,0.033173,0.757347
"none",FALSE,TRUE,FALSE,3,3,0.028191,0.005957,0.05251,0.70651
"lemmatization",FALSE,TRUE,FALSE,3,3,0.007152,-0.014216,0.02935,0.6329
"none",TRUE,FALSE,FALSE,3,3,0.024093,-0.008272,0.057074,0.279869
"lemmatization",TRUE,FALSE,FALSE,3,3,0.033216,0.006612,0.060368,0.461648
"none",FALSE,FALSE,FALSE,3,3,0.006779,-0.024035,0.039113,0.362849
"lemmatization",FALSE,FALSE,FALSE,3,3,0.023869,-0.004119,0.053546,0.393721
