"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","max_rho"
"stemming",TRUE,FALSE,TRUE,1,2,-0.013497,-0.026532,-0.001931,0.137906
"none",FALSE,FALSE,TRUE,1,2,-0.010188,-0.020641,-0.003247,0.073803
"lemmatization",FALSE,FALSE,TRUE,1,2,-0.016368,-0.028214,-0.005711,0.144695
"stemming",FALSE,FALSE,TRUE,1,2,-0.010403,-0.017389,-0.005179,0.103199
"none",TRUE,TRUE,FALSE,1,2,-0.003082,-0.033941,0.029264,0.176777
"lemmatization",TRUE,TRUE,FALSE,1,2,-0.026793,-0.062378,0.007529,0.242072
"stemming",TRUE,TRUE,FALSE,1,2,0.024113,-0.003606,0.050976,0.999931
"none",FALSE,TRUE,FALSE,1,2,0.021506,0.007785,0.035885,0.129112
"lemmatization",FALSE,TRUE,FALSE,1,2,-0.047297,-0.079424,-0.016094,0.225844
"stemming",FALSE,TRUE,FALSE,1,2,0.038851,0.015492,0.06242,0.272025
"none",TRUE,FALSE,FALSE,1,2,0.020327,-0.020384,0.060351,0.167068
"lemmatization",TRUE,FALSE,FALSE,1,2,0.056593,0.021087,0.092564,0.23879
"stemming",TRUE,FALSE,FALSE,1,2,-0.001606,-0.038594,0.036444,0.216621
"none",FALSE,FALSE,FALSE,1,2,0.003322,-0.028945,0.035075,0.202756
"lemmatization",FALSE,FALSE,FALSE,1,2,0.018541,-0.009601,0.046891,0.163206
"stemming",FALSE,FALSE,FALSE,1,2,-0.020217,-0.054093,0.012887,0.191045
"none",TRUE,TRUE,TRUE,2,2,0.010688,-0.027669,0.05076,0.083146
"lemmatization",TRUE,TRUE,TRUE,2,2,0.000324,-0.022072,0.02267,0.156461
"stemming",TRUE,TRUE,TRUE,2,2,-0.00945,-0.018813,-2.4e-05,0.119707
"none",FALSE,TRUE,TRUE,2,2,0.002756,-0.04436,0.047991,0.084763
"lemmatization",FALSE,TRUE,TRUE,2,2,-0.007703,-0.01977,0.003069,0.150451
"stemming",FALSE,TRUE,TRUE,2,2,-0.016191,-0.034374,-0.001645,0.117321
"none",TRUE,FALSE,TRUE,2,2,0.015812,-0.021863,0.066628,0.110541
"lemmatization",TRUE,FALSE,TRUE,2,2,-0.004314,-0.022004,0.00567,0.147145
"stemming",TRUE,FALSE,TRUE,2,2,0.02756,-0.003485,0.058887,0.16471
"none",FALSE,FALSE,TRUE,2,2,0.039443,0.009801,0.074762,0.114479
"lemmatization",FALSE,FALSE,TRUE,2,2,-0.007652,-0.015345,-0.00198,0.045386
"stemming",FALSE,FALSE,TRUE,2,2,-0.024541,-0.056592,0.010569,0.068006
"none",TRUE,TRUE,FALSE,2,2,0.011938,-0.023047,0.051405,0.245777
"lemmatization",TRUE,TRUE,FALSE,2,2,0.010893,-0.021954,0.043839,0.136161
"stemming",TRUE,TRUE,FALSE,2,2,0.042696,0.010903,0.075793,0.375832
"none",FALSE,TRUE,FALSE,2,2,0.018975,0.013288,0.02459,0.124668
"lemmatization",FALSE,TRUE,FALSE,2,2,0.047634,0.018122,0.078674,0.208595
"stemming",FALSE,TRUE,FALSE,2,2,0.046876,0.025484,0.068676,0.193156
"none",TRUE,FALSE,FALSE,2,2,-0.00372,-0.04566,0.040719,0.15478
"lemmatization",TRUE,FALSE,FALSE,2,2,-0.020121,-0.060335,0.019209,0.233583
"stemming",TRUE,FALSE,FALSE,2,2,0.044853,0.003933,0.084958,0.184033
"none",FALSE,FALSE,FALSE,2,2,0.057166,0.023633,0.08924,0.121381
"lemmatization",FALSE,FALSE,FALSE,2,2,0.041989,0.023933,0.061494,0.129938
"stemming",FALSE,FALSE,FALSE,2,2,-0.001738,-0.022128,0.019454,0.172651
"none",TRUE,TRUE,TRUE,3,2,-0.00612,-0.015844,0.005045,0.134075
"lemmatization",TRUE,TRUE,TRUE,3,2,0.036176,-0.002558,0.069777,0.184987
"stemming",TRUE,TRUE,TRUE,3,2,-0.006717,-0.015445,0.001452,0.152809
"none",FALSE,TRUE,TRUE,3,2,-0.00011,-0.006065,0.004938,0.110124
"lemmatization",FALSE,TRUE,TRUE,3,2,-0.028915,-0.06031,0.005534,0.113023
"stemming",FALSE,TRUE,TRUE,3,2,-0.001864,-0.009444,0.005311,0.133764
"none",TRUE,FALSE,TRUE,3,2,-0.071043,-0.109881,-0.030591,0.166106
"lemmatization",TRUE,FALSE,TRUE,3,2,-0.005777,-0.017017,0.002703,0.21772
"stemming",TRUE,FALSE,TRUE,3,2,-0.005256,-0.010852,0.001148,0.139224
"none",FALSE,FALSE,TRUE,3,2,-0.023227,-0.0525,0.0051,0.098067
"lemmatization",FALSE,FALSE,TRUE,3,2,-0.000976,-0.009579,0.007474,0.13312
"stemming",FALSE,FALSE,TRUE,3,2,-0.005023,-0.009285,-0.001783,0.146966
"none",TRUE,TRUE,FALSE,3,2,0.014256,-0.016852,0.043778,0.283447
"lemmatization",TRUE,TRUE,FALSE,3,2,-0.009452,-0.036523,0.018069,0.270653
"stemming",TRUE,TRUE,FALSE,3,2,-0.031354,-0.05993,-0.004696,0.372745
"none",FALSE,TRUE,FALSE,3,2,0.010681,-0.0066,0.028714,0.194426
"lemmatization",FALSE,TRUE,FALSE,3,2,0.027688,0.001872,0.052665,0.296699
"stemming",FALSE,TRUE,FALSE,3,2,0.019762,-0.003729,0.043023,0.221684
"none",TRUE,FALSE,FALSE,3,2,-0.002308,-0.034383,0.029969,0.183396
"lemmatization",TRUE,FALSE,FALSE,3,2,-0.056609,-0.091351,-0.024059,0.150281
"stemming",TRUE,FALSE,FALSE,3,2,0.016591,-0.013229,0.046183,0.308944
"none",FALSE,FALSE,FALSE,3,2,0.010784,-0.02065,0.04241,0.114086
"lemmatization",FALSE,FALSE,FALSE,3,2,0.035406,0.013873,0.057117,0.142857
"stemming",FALSE,FALSE,FALSE,3,2,0.031549,0.003607,0.058466,0.185599
"none",TRUE,TRUE,TRUE,1,3,-0.003395,-0.013689,0.006765,0.202706
"lemmatization",TRUE,TRUE,TRUE,1,3,-0.001016,-0.009654,0.006049,0.14005
"stemming",TRUE,TRUE,TRUE,1,3,-0.004476,-0.017348,0.004775,0.124793
"none",FALSE,TRUE,TRUE,1,3,0.007734,-0.035989,0.043707,0.116671
"lemmatization",FALSE,TRUE,TRUE,1,3,-0.000588,-0.009261,0.007856,0.129479
"stemming",FALSE,TRUE,TRUE,1,3,-0.005966,-0.024964,0.005673,0.109551
"none",TRUE,FALSE,TRUE,1,3,-0.005477,-0.014773,0.002775,0.111524
"lemmatization",TRUE,FALSE,TRUE,1,3,-0.012313,-0.03772,0.011629,0.115763
"stemming",TRUE,FALSE,TRUE,1,3,-0.015446,-0.032159,0.002901,0.181928
"none",FALSE,FALSE,TRUE,1,3,-0.002021,-0.007262,0.003762,0.127086
"lemmatization",FALSE,FALSE,TRUE,1,3,-0.014038,-0.025737,-0.004889,0.132334
"stemming",FALSE,FALSE,TRUE,1,3,-0.009678,-0.01856,-0.002217,0.085745
"none",TRUE,TRUE,FALSE,1,3,-0.005353,-0.039851,0.028851,0.176777
"lemmatization",TRUE,TRUE,FALSE,1,3,-0.027957,-0.063933,0.00701,0.24239
"stemming",TRUE,TRUE,FALSE,1,3,0.023733,-0.003141,0.052236,1
"none",FALSE,TRUE,FALSE,1,3,-0.049591,-0.070693,-0.026036,0.141556
"lemmatization",FALSE,TRUE,FALSE,1,3,-0.016535,-0.041738,0.009994,0.229753
"stemming",FALSE,TRUE,FALSE,1,3,0.040498,0.017738,0.062303,0.263499
"none",TRUE,FALSE,FALSE,1,3,0.020533,-0.023875,0.063453,0.167068
"lemmatization",TRUE,FALSE,FALSE,1,3,0.055718,0.021245,0.091711,0.23879
"stemming",TRUE,FALSE,FALSE,1,3,-0.002157,-0.03704,0.0336,0.216621
"none",FALSE,FALSE,FALSE,1,3,0.003192,-0.0317,0.038187,0.200423
"lemmatization",FALSE,FALSE,FALSE,1,3,0.020161,-0.009327,0.048783,0.167424
"stemming",FALSE,FALSE,FALSE,1,3,-0.021307,-0.053182,0.009185,0.192142
"none",TRUE,TRUE,TRUE,2,3,-0.01309,-0.02941,0.004387,0.131122
"lemmatization",TRUE,TRUE,TRUE,2,3,-0.006064,-0.016521,0.004128,0.119788
"stemming",TRUE,TRUE,TRUE,2,3,0.017523,-0.029066,0.065048,0.162704
"none",FALSE,TRUE,TRUE,2,3,-0.00705,-0.017375,0.001676,0.078185
"lemmatization",FALSE,TRUE,TRUE,2,3,-0.00655,-0.013709,0.000171,0.093006
