"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","anchor_variant"
"lemmatization",TRUE,FALSE,FALSE,2,1,0.002568,-0.04107,0.048278,"social_contacts"
"stemming",TRUE,FALSE,FALSE,2,1,0.043884,0.003726,0.083369,"max_gendered"
"stemming",TRUE,FALSE,FALSE,2,1,-0.04273,-0.086862,6e-05,"highest_overlap"
"stemming",TRUE,FALSE,FALSE,2,1,-0.04273,-0.086862,6e-05,"social_contacts"
"none",FALSE,FALSE,FALSE,2,1,0.055125,0.019895,0.089733,"max_gendered"
"none",FALSE,FALSE,FALSE,2,1,0.055125,0.019895,0.089733,"highest_overlap"
"none",FALSE,FALSE,FALSE,2,1,0.055125,0.019895,0.089733,"social_contacts"
"lemmatization",FALSE,FALSE,FALSE,2,1,0.044912,0.026006,0.065119,"max_gendered"
"lemmatization",FALSE,FALSE,FALSE,2,1,0.037335,0.003207,0.071328,"highest_overlap"
"lemmatization",FALSE,FALSE,FALSE,2,1,0.037335,0.003207,0.071328,"social_contacts"
"stemming",FALSE,FALSE,FALSE,2,1,0.00111,-0.021835,0.023524,"max_gendered"
"stemming",FALSE,FALSE,FALSE,2,1,0.067289,0.040652,0.095678,"highest_overlap"
"stemming",FALSE,FALSE,FALSE,2,1,0.067289,0.040652,0.095678,"social_contacts"
"none",TRUE,TRUE,TRUE,3,1,-0.011301,-0.03042,0.005972,"max_gendered"
"none",TRUE,TRUE,TRUE,3,1,-0.004137,-0.010921,0.001083,"highest_overlap"
"none",TRUE,TRUE,TRUE,3,1,-0.004137,-0.010921,0.001083,"social_contacts"
"lemmatization",TRUE,TRUE,TRUE,3,1,-0.001206,-0.009873,0.009959,"max_gendered"
"lemmatization",TRUE,TRUE,TRUE,3,1,-0.003504,-0.01791,0.005768,"highest_overlap"
"lemmatization",TRUE,TRUE,TRUE,3,1,-0.003504,-0.01791,0.005768,"social_contacts"
"stemming",TRUE,TRUE,TRUE,3,1,0.023082,-0.017294,0.068248,"max_gendered"
"stemming",TRUE,TRUE,TRUE,3,1,0.022932,-0.015414,0.061855,"highest_overlap"
"stemming",TRUE,TRUE,TRUE,3,1,0.022932,-0.015414,0.061855,"social_contacts"
"none",FALSE,TRUE,TRUE,3,1,-0.007975,-0.021276,0.003258,"max_gendered"
"none",FALSE,TRUE,TRUE,3,1,0.038208,-0.009306,0.092306,"highest_overlap"
"none",FALSE,TRUE,TRUE,3,1,0.038208,-0.009306,0.092306,"social_contacts"
"lemmatization",FALSE,TRUE,TRUE,3,1,-0.003443,-0.012144,0.007391,"max_gendered"
"lemmatization",FALSE,TRUE,TRUE,3,1,0.013506,-0.013794,0.038276,"highest_overlap"
"lemmatization",FALSE,TRUE,TRUE,3,1,0.013506,-0.013794,0.038276,"social_contacts"
"stemming",FALSE,TRUE,TRUE,3,1,-0.002193,-0.006508,0.001801,"max_gendered"
